,Направление подготовки,Сумма баллов,Год,ID
109,21.03.01 Нефтегазовое дело,139.0,2017,8.0
110,21.03.02 Землеустройство и кадастры,169.0,2017,0.0
111,21.05.01 Прикладная геодезия,164.0,2017,3.0
112,21.05.02 Прикладная геология,159.0,2017,
113,21.05.03 Технология геологической разведки,177.0,2017,
114,22.03.01 Материаловедение и технологии материалов,170.0,2017,35.0
115,23.03.01 Технология транспортных процессов,192.0,2017,34.0
116,23.03.02 Наземные транспортно-технологические комплексы,177.0,2017,
117,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,157.0,2017,
118,23.05.01 Наземные транспортно-технологические средства,181.0,2017,23.0
119,27.03.01 Стандартизация и метрология,168.0,2017,
120,27.03.02 Управление качеством,163.0,2017,
121,27.03.04 Управление в технических системах,190.0,2017,9.0
122,27.03.05 Инноватика,182.0,2017,
123,05.03.01 Геология,185.0,2018,20.0
124,07.03.01 Архитектура,304.0,2018,21.0
125,07.03.03 Дизайн архитектурной среды,292.0,2018,16.0
126,08.03.01 Строительство,124.0,2018,6.0
127,08.05.01 Строительство уникальных зданий и сооружений,195.0,2018,
128,"08.05.03 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",171.0,2018,
129,09.03.01 Информатика и вычислительная техника,150.0,2018,
130,09.03.02 Информационные системы и технологии,141.0,2018,
131,12.03.01 Приборостроение,171.0,2018,25.0
132,12.03.04 Биотехнические системы и технологии,141.0,2018,26.0
133,13.03.01 Теплоэнергетика и теплотехника,136.0,2018,24.0
134,13.03.02 Электроэнергетика и электротехника,139.0,2018,12.0
135,15.03.01 Машиностроение,161.0,2018,33.0
136,15.03.02 Технологические машины и оборудование,165.0,2018,
137,15.03.04 Автоматизация технологических процессов и производств,161.0,2018,4.0
138,18.03.01 Химическая технология,190.0,2018,5.0
139,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",200.0,2018,
140,19.03.04 Технология продукции и организация общественного питания,168.0,2018,28.0
141,20.03.01 Техносферная безопасность,157.0,2018,10.0
142,21.03.01 Нефтегазовое дело,139.0,2018,8.0
143,21.03.02 Землеустройство и кадастры,169.0,2018,0.0
144,21.05.01 Прикладная геодезия,164.0,2018,3.0
145,21.05.02 Прикладная геология,159.0,2018,
146,21.05.03 Технология геологической разведки,177.0,2018,
147,22.03.01 Материаловедение и технологии материалов,170.0,2018,35.0
148,23.03.01 Технология транспортных процессов,192.0,2018,34.0
149,23.03.02 Наземные транспортно-технологические комплексы,177.0,2018,
150,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,157.0,2018,
151,23.05.01 Наземные транспортно-технологические средства,181.0,2018,23.0
152,27.03.01 Стандартизация и метрология,168.0,2018,
153,27.03.02 Управление качеством,163.0,2018,
154,27.03.04 Управление в технических системах,190.0,2018,9.0
155,27.03.05 Инноватика,182.0,2018,
156,27.03.01 Стандартизация и метрология,176.0,2019,
157,27.03.01 Стандартизация и метрология,157.0,2020,
158,08.03.01 Строительство,177.0,2019,6.0
159,08.03.01 Строительство,152.0,2020,6.0
160,08.03.01 Строительство,140.0,2021,6.0
161,08.03.01 Строительство,125.0,2022,6.0
162,08.03.01 Строительство,140.0,2023,6.0
163,13.03.01 Теплоэнергетика и теплотехника,192.0,2019,24.0
164,13.03.01 Теплоэнергетика и теплотехника,178.0,2020,24.0
165,13.03.01 Теплоэнергетика и теплотехника,149.0,2021,24.0
166,13.03.01 Теплоэнергетика и теплотехника,137.0,2022,24.0
167,13.03.01 Теплоэнергетика и теплотехника,139.0,2023,24.0
168,08.05.01 Строительство уникальных зданий и сооружений,199.0,2019,
169,08.05.01 Строительство уникальных зданий и сооружений,212.0,2020,
170,21.03.02 Землеустройство и кадастры,176.0,2019,0.0
171,21.03.02 Землеустройство и кадастры,158.0,2020,0.0
172,21.03.02 Землеустройство и кадастры,137.0,2021,0.0
173,21.03.02 Землеустройство и кадастры,153.0,2022,0.0
174,21.03.02 Землеустройство и кадастры,165.0,2023,0.0
175,27.03.03 Системный анализ и управление,176.0,2019,13.0
176,27.03.03 Системный анализ и управление,156.0,2020,13.0
177,27.03.03 Системный анализ и управление,201.0,2021,13.0
178,27.03.03 Системный анализ и управление,208.0,2022,13.0
179,27.03.03 Системный анализ и управление,207.0,2023,13.0
180,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",176.0,2019,
181,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",161.0,2020,
182,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",134.0,2022,
183,21.05.03 Технология геологической разведки,199.0,2019,
184,21.05.03 Технология геологической разведки,148.0,2020,
185,12.03.01 Приборостроение,176.0,2019,25.0
186,12.03.01 Приборостроение,177.0,2020,25.0
187,12.03.01 Приборостроение,137.0,2021,25.0
188,12.03.01 Приборостроение,156.0,2022,25.0
189,12.03.01 Приборостроение,169.0,2023,25.0
190,22.03.01 Материаловедение и технологии материалов,176.0,2019,35.0
191,22.03.01 Материаловедение и технологии материалов,144.0,2020,35.0
192,22.03.01 Материаловедение и технологии материалов,144.0,2021,35.0
193,22.03.01 Материаловедение и технологии материалов,143.0,2022,35.0
194,22.03.01 Материаловедение и технологии материалов,135.0,2023,35.0
195,20.03.01 Техносферная безопасность,192.0,2019,10.0
196,20.03.01 Техносферная безопасность,164.0,2020,10.0
197,20.03.01 Техносферная безопасность,170.0,2021,10.0
198,20.03.01 Техносферная безопасность,151.0,2022,10.0
199,20.03.01 Техносферная безопасность,145.0,2023,10.0
200,09.03.02 Информационные системы и технологии,208.0,2019,
201,09.03.02 Информационные системы и технологии,142.0,2020,
202,09.03.02 Информационные системы и технологии,203.0,2021,
203,09.03.02 Информационные системы и технологии,223.0,2022,
204,13.03.02 Электроэнергетика и электротехника,202.0,2019,12.0
205,13.03.02 Электроэнергетика и электротехника,195.0,2020,12.0
206,13.03.02 Электроэнергетика и электротехника,187.0,2021,12.0
207,13.03.02 Электроэнергетика и электротехника,177.0,2022,12.0
208,13.03.02 Электроэнергетика и электротехника,179.0,2023,12.0
209,09.03.01 Информатика и вычислительная техника,215.0,2019,
210,09.03.01 Информатика и вычислительная техника,159.0,2020,
211,09.03.01 Информатика и вычислительная техника,215.0,2019,
212,09.03.01 Информатика и вычислительная техника,159.0,2020,
213,05.03.01 Геология,201.0,2019,20.0
214,05.03.01 Геология,156.0,2020,20.0
215,05.03.01 Геология,174.0,2021,20.0
216,05.03.01 Геология,145.0,2022,20.0
217,05.03.01 Геология,179.0,2023,20.0
218,19.03.04 Технология продукции и организация общественного питания,184.0,2019,28.0
219,19.03.04 Технология продукции и организация общественного питания,169.0,2020,28.0
220,19.03.04 Технология продукции и организация общественного питания,168.0,2021,28.0
221,19.03.04 Технология продукции и организация общественного питания,132.0,2022,28.0
222,19.03.04 Технология продукции и организация общественного питания,171.0,2023,28.0
223,18.03.01 Химическая технология,212.0,2019,5.0
224,18.03.01 Химическая технология,151.0,2020,5.0
225,18.03.01 Химическая технология,174.0,2022,5.0
226,18.03.01 Химическая технология,162.0,2023,5.0
227,43.03.01 Сервис,208.0,2019,
228,43.03.01 Сервис,242.0,2020,
229,43.03.01 Сервис,208.0,2019,
230,43.03.01 Сервис,242.0,2020,
231,43.03.03 Гостиничное дело,214.0,2019,
232,43.03.03 Гостиничное дело,199.0,2020,
233,27.03.05 Инноватика,202.0,2019,
234,27.03.05 Инноватика,172.0,2020,
235,01.03.02 Прикладная математика и информатика,200.0,2020,29.0
236,01.03.02 Прикладная математика и информатика,212.0,2021,29.0
237,01.03.02 Прикладная математика и информатика,227.0,2022,29.0
238,01.03.02 Прикладная математика и информатика,238.0,2023,29.0
239,28.03.03 Наноматериалы,164.0,2021,2.0
240,28.03.03 Наноматериалы,126.0,2023,2.0
